date, value,value2
"April 9, 1955",1.44,
"April 10, 1955",1.44,
"April 11, 1955",1.44,
"April 12, 1955",1.44,
"April 13, 1955",1.44,
"April 14, 1955",1.44,
"April 15, 1955",1.38,
"April 16, 1955",1.38,
"April 17, 1955",1.38,
"April 18, 1955",1.5,
"April 19, 1955",1.25,
"April 20, 1955",1.5,
"April 21, 1955",1.63,
"April 22, 1955",1.63,
"April 23, 1955",1.63,
"April 24, 1955",1.63,
"April 25, 1955",1.38,
"April 26, 1955",1,
"April 27, 1955",0.5,
"April 28, 1955",1.5,
"April 29, 1955",1.69,
"April 30, 1955",1.69,
"May 1, 1955",1.69,
"May 2, 1955",1.69,
"May 3, 1955",1.69,
"May 4, 1955",1.69,
"May 5, 1955",1.63,
"May 6, 1955",1.5,
"May 7, 1955",1.5,
"May 8, 1955",1.5,
"May 9, 1955",1.25,
"May 10, 1955",0.75,
"May 11, 1955",1,
"May 12, 1955",1.69,
"May 13, 1955",1.63,
"May 14, 1955",1.63,
"May 15, 1955",1.63,
"May 16, 1955",1.63,
"May 17, 1955",0.5,
"May 18, 1955",0.5,
"May 19, 1955",1.5,
"May 20, 1955",1,
"May 21, 1955",1,
"May 22, 1955",1,
"May 23, 1955",1.5,
"May 24, 1955",1.5,
"May 25, 1955",1.69,
"May 26, 1955",1.69,
"May 27, 1955",1.69,
"May 28, 1955",1.69,
"May 29, 1955",1.69,
"May 30, 1955",1.69,
"May 31, 1955",1.69,
"June 1, 1955",1.69,
"June 2, 1955",1.69,
"June 3, 1955",1.69,
"June 4, 1955",1.69,
"June 5, 1955",1.69,
"June 6, 1955",1.69,
"June 7, 1955",1.63,
"June 8, 1955",1.63,
"June 9, 1955",1.69,
"June 10, 1955",1.69,
"June 11, 1955",1.69,
"June 12, 1955",1.69,
"June 13, 1955",1.69,
"June 14, 1955",1.69,
"June 15, 1955",1.69,
"June 16, 1955",1.69,
"June 17, 1955",1.5,
"June 18, 1955",1.5,
"June 19, 1955",1.5,
"June 20, 1955",1.63,
"June 21, 1955",1.63,
"June 22, 1955",1.38,
"June 23, 1955",1.63,
"June 24, 1955",1.63,
"June 25, 1955",1.63,
"June 26, 1955",1.63,
"June 27, 1955",1.69,
"June 28, 1955",1.69,
"June 29, 1955",1.69,
"June 30, 1955",1.69,
"July 1, 1955",1.69,
"July 2, 1955",1.69,
"July 3, 1955",1.69,
"July 4, 1955",1.69,
"July 5, 1955",1.69,
"July 6, 1955",1.69,
"July 7, 1955",1.69,
"July 8, 1955",1.69,
"July 9, 1955",1.69,
"July 10, 1955",1.69,
"July 11, 1955",1.69,
"July 12, 1955",1.69,
"July 13, 1955",1.69,
"July 14, 1955",1.69,
"July 15, 1955",1.63,
"July 16, 1955",1.63,
"July 17, 1955",1.63,
"July 18, 1955",1.63,
"July 19, 1955",1.63,
"July 20, 1955",1.69,
"July 21, 1955",1.69,
"July 22, 1955",1.69,
"July 23, 1955",1.69,
"July 24, 1955",1.69,
"July 25, 1955",1.63,
"July 26, 1955",1.63,
"July 27, 1955",1.69,
"July 28, 1955",1.69,
"July 29, 1955",1.75,
"July 30, 1955",1.75,
"July 31, 1955",1.75,
"August 1, 1955",1.69,
"August 2, 1955",1.69,
"August 3, 1955",1.69,
"August 4, 1955",2,
"August 5, 1955",2,
"August 6, 1955",2,
"August 7, 1955",2,
"August 8, 1955",1.94,
"August 9, 1955",1.94,
"August 10, 1955",1.94,
"August 11, 1955",1.94,
"August 12, 1955",2,
"August 13, 1955",2,
"August 14, 1955",2,
"August 15, 1955",2,
"August 16, 1955",1.94,
"August 17, 1955",1.94,
"August 18, 1955",2,
"August 19, 1955",2,
"August 20, 1955",2,
"August 21, 1955",2,
"August 22, 1955",2,
"August 23, 1955",2,
"August 24, 1955",1.94,
"August 25, 1955",2,
"August 26, 1955",2,
"August 27, 1955",2,
"August 28, 1955",2,
"August 29, 1955",2,
"August 30, 1955",2,
"August 31, 1955",2,
"September 1, 1955",2,
"September 2, 1955",2.13,
"September 3, 1955",2.13,
"September 4, 1955",2.13,
"September 5, 1955",2.13,
"September 6, 1955",2,
"September 7, 1955",2,
"September 8, 1955",2.13,
"September 9, 1955",2.25,
"September 10, 1955",2.25,
"September 11, 1955",2.25,
"September 12, 1955",2.25,
"September 13, 1955",2.19,
"September 14, 1955",2,
"September 15, 1955",2.25,
"September 16, 1955",2.19,
"September 17, 1955",2.19,
"September 18, 1955",2.19,
"September 19, 1955",2.19,
"September 20, 1955",2.19,
"September 21, 1955",2.19,
"September 22, 1955",2.19,
"September 23, 1955",2.25,
"September 24, 1955",2.25,
"September 25, 1955",2.25,
"September 26, 1955",2.25,
"September 27, 1955",2.25,
"September 28, 1955",2.25,
"September 29, 1955",2.25,
"September 30, 1955",2.19,
"October 1, 1955",2.19,
"October 2, 1955",2.19,
"October 3, 1955",2.25,
"October 4, 1955",2.25,
"October 5, 1955",2.19,
"October 6, 1955",2.25,
"October 7, 1955",2.25,
"October 8, 1955",2.25,
"October 9, 1955",2.25,
"October 10, 1955",2.25,
"October 11, 1955",2.25,
"October 12, 1955",2.25,
"October 13, 1955",2.25,
"October 14, 1955",2.25,
"October 15, 1955",2.25,
"October 16, 1955",2.25,
"October 17, 1955",2.25,
"October 18, 1955",2.19,
"October 19, 1955",2.19,
"October 20, 1955",2.25,
"October 21, 1955",2.25,
"October 22, 1955",2.25,
"October 23, 1955",2.25,
"October 24, 1955",2.25,
"October 25, 1955",2.25,
"October 26, 1955",2.25,
"October 27, 1955",2.25,
"October 28, 1955",2.25,
"October 29, 1955",2.25,
"October 30, 1955",2.25,
"October 31, 1955",2.25,
"November 1, 1955",2.25,
"November 2, 1955",2.25,
"November 3, 1955",2.25,
"November 4, 1955",2.25,
"November 5, 1955",2.25,
"November 6, 1955",2.25,
"November 7, 1955",2.25,
"November 8, 1955",2.25,
"November 9, 1955",2.25,
"November 10, 1955",2.25,
"November 11, 1955",2.25,
"November 12, 1955",2.25,
"November 13, 1955",2.25,
"November 14, 1955",2.25,
"November 15, 1955",2.25,
"November 16, 1955",2.19,
"November 17, 1955",2.25,
"November 18, 1955",2.5,
"November 19, 1955",2.5,
"November 20, 1955",2.5,
"November 21, 1955",2.5,
"November 22, 1955",2.5,
"November 23, 1955",2.5,
"November 24, 1955",2.5,
"November 25, 1955",2.5,
"November 26, 1955",2.5,
"November 27, 1955",2.5,
"November 28, 1955",2.5,
"November 29, 1955",2.5,
"November 30, 1955",2.44,
"December 1, 1955",2.5,
"December 2, 1955",2.5,
"December 3, 1955",2.5,
"December 4, 1955",2.5,
"December 5, 1955",2.5,
"December 6, 1955",2.5,
"December 7, 1955",2.5,
"December 8, 1955",2.5,
"December 9, 1955",2.5,
"December 10, 1955",2.5,
"December 11, 1955",2.5,
"December 12, 1955",2.5,
"December 13, 1955",2.44,
"December 14, 1955",2.25,
"December 15, 1955",2.44,
"December 16, 1955",2.5,
"December 17, 1955",2.5,
"December 18, 1955",2.5,
"December 19, 1955",2.5,
"December 20, 1955",2.5,
"December 21, 1955",2.44,
"December 22, 1955",2.5,
"December 23, 1955",2.5,
"December 24, 1955",2.5,
"December 25, 1955",2.5,
"December 26, 1955",2.5,
"December 27, 1955",2.5,
"December 28, 1955",2.38,
"December 29, 1955",2.5,
"December 30, 1955",2.5,
"December 31, 1955",2.5,
"January 1, 1956",2.5,
"January 2, 1956",2.5,
"January 3, 1956",2.44,
"January 4, 1956",1.25,
"January 5, 1956",2.5,
"January 6, 1956",2.5,
"January 7, 1956",2.5,
"January 8, 1956",2.5,
"January 9, 1956",2.5,
"January 10, 1956",2.44,
"January 11, 1956",2.44,
"January 12, 1956",2.5,
"January 13, 1956",2.5,
"January 14, 1956",2.5,
"January 15, 1956",2.5,
"January 16, 1956",2.5,
"January 17, 1956",2.5,
"January 18, 1956",2.5,
"January 19, 1956",2.5,
"January 20, 1956",2.5,
"January 21, 1956",2.5,
"January 22, 1956",2.5,
"January 23, 1956",2.5,
"January 24, 1956",2.5,
"January 25, 1956",2.5,
"January 26, 1956",2.5,
"January 27, 1956",2.5,
"January 28, 1956",2.5,
"January 29, 1956",2.5,
"January 30, 1956",2.5,
"January 31, 1956",2.5,
"February 1, 1956",2.5,
"February 2, 1956",2.5,
"February 3, 1956",2.5,
"February 4, 1956",2.5,
"February 5, 1956",2.5,
"February 6, 1956",2.5,
"February 7, 1956",2.5,
"February 8, 1956",2.5,
"February 9, 1956",2.5,
"February 10, 1956",2.5,
"February 11, 1956",2.5,
"February 12, 1956",2.5,
"February 13, 1956",2.5,
"February 14, 1956",2.5,
"February 15, 1956",2.5,
"February 16, 1956",2.5,
"February 17, 1956",2.5,
"February 18, 1956",2.5,
"February 19, 1956",2.5,
"February 20, 1956",2.5,
"February 21, 1956",2.44,
"February 22, 1956",2.44,
"February 23, 1956",2.5,
"February 24, 1956",2.5,
"February 25, 1956",2.5,
"February 26, 1956",2.5,
"February 27, 1956",2.5,
"February 28, 1956",2.5,
"February 29, 1956",2.5,
"March 1, 1956",2.5,
"March 2, 1956",2.5,
"March 3, 1956",2.5,
"March 4, 1956",2.5,
"March 5, 1956",2.5,
"March 6, 1956",2.5,
"March 7, 1956",2.5,
"March 8, 1956",2.5,
"March 9, 1956",2.5,
"March 10, 1956",2.5,
"March 11, 1956",2.5,
"March 12, 1956",2.5,
"March 13, 1956",2.5,
"March 14, 1956",2.44,
"March 15, 1956",2.5,
"March 16, 1956",2.5,
"March 17, 1956",2.5,
"March 18, 1956",2.5,
"March 19, 1956",2.5,
"March 20, 1956",2.5,
"March 21, 1956",2.5,
"March 22, 1956",2.5,
"March 23, 1956",2.5,
"March 24, 1956",2.5,
"March 25, 1956",2.5,
"March 26, 1956",2.5,
"March 27, 1956",2.5,
"March 28, 1956",2.5,
"March 29, 1956",2.5,
"March 30, 1956",2.5,
"March 31, 1956",2.5,
"April 1, 1956",2.5,
"April 2, 1956",2.5,
"April 3, 1956",2.5,
"April 4, 1956",2.5,
"April 5, 1956",2.5,
"April 6, 1956",2.5,
"April 7, 1956",2.5,
"April 8, 1956",2.5,
"April 9, 1956",2.5,
"April 10, 1956",2.5,
"April 11, 1956",2.5,
"April 12, 1956",2.5,
"April 13, 1956",2.75,
"April 14, 1956",2.75,
"April 15, 1956",2.75,
"April 16, 1956",2.69,
"April 17, 1956",2.38,
"April 18, 1956",2.38,
"April 19, 1956",2.75,
"April 20, 1956",2.75,
"April 21, 1956",2.75,
"April 22, 1956",2.75,
"April 23, 1956",2.75,
"April 24, 1956",2.75,
"April 25, 1956",2.75,
"April 26, 1956",2.75,
"April 27, 1956",2.75,
"April 28, 1956",2.75,
"April 29, 1956",2.75,
"April 30, 1956",2.75,
"May 1, 1956",2.75,
"May 2, 1956",2.75,
"May 3, 1956",2.75,
"May 4, 1956",2.75,
"May 5, 1956",2.75,
"May 6, 1956",2.75,
"May 7, 1956",2.75,
"May 8, 1956",2.75,
"May 9, 1956",2.75,
"May 10, 1956",2.75,
"May 11, 1956",2.75,
"May 12, 1956",2.75,
"May 13, 1956",2.75,
"May 14, 1956",2.75,
"May 15, 1956",2.75,
"May 16, 1956",2.75,
"May 17, 1956",2.75,
"May 18, 1956",2.75,
"May 19, 1956",2.75,
"May 20, 1956",2.75,
"May 21, 1956",2.75,
"May 22, 1956",2.75,
"May 23, 1956",2.75,
"May 24, 1956",2.75,
"May 25, 1956",2.75,
"May 26, 1956",2.75,
"May 27, 1956",2.75,
"May 28, 1956",2.75,
"May 29, 1956",2.75,
"May 30, 1956",2.75,
"May 31, 1956",2.75,
"June 1, 1956",2.75,
"June 2, 1956",2.75,
"June 3, 1956",2.75,
"June 4, 1956",2.75,
"June 5, 1956",2.75,
"June 6, 1956",2.5,
"June 7, 1956",2.75,
"June 8, 1956",2.75,
"June 9, 1956",2.75,
"June 10, 1956",2.75,
"June 11, 1956",2.75,
"June 12, 1956",2.75,
"June 13, 1956",2.75,
"June 14, 1956",2.75,
"June 15, 1956",2.75,
"June 16, 1956",2.75,
"June 17, 1956",2.75,
"June 18, 1956",2.75,
"June 19, 1956",2.75,
"June 20, 1956",2.75,
"June 21, 1956",2.75,
"June 22, 1956",2.75,
"June 23, 1956",2.75,
"June 24, 1956",2.75,
"June 25, 1956",2.75,
"June 26, 1956",2.25,
"June 27, 1956",2.25,
"June 28, 1956",2.75,
"June 29, 1956",2.75,
"June 30, 1956",2.75,
"July 1, 1956",2.75,
"July 2, 1956",2.75,
"July 3, 1956",2.75,
"July 4, 1956",2.75,
"July 5, 1956",2.75,
"July 6, 1956",2.75,
"July 7, 1956",2.75,
"July 8, 1956",2.75,
"July 9, 1956",2.75,
"July 10, 1956",2.75,
"July 11, 1956",2.75,
"July 12, 1956",2.75,
"July 13, 1956",2.75,
"July 14, 1956",2.75,
"July 15, 1956",2.75,
"July 16, 1956",2.75,
"July 17, 1956",2.75,
"July 18, 1956",2.75,
"July 19, 1956",2.75,
"July 20, 1956",2.75,
"July 21, 1956",2.75,
"July 22, 1956",2.75,
"July 23, 1956",2.75,
"July 24, 1956",2.75,
"July 25, 1956",2.69,
"July 26, 1956",2.75,
"July 27, 1956",2.75,
"July 28, 1956",2.75,
"July 29, 1956",2.75,
"July 30, 1956",2.75,
"July 31, 1956",2.69,
"August 1, 1956",2.69,
"August 2, 1956",2.75,
"August 3, 1956",2.75,
"August 4, 1956",2.75,
"August 5, 1956",2.75,
"August 6, 1956",2.75,
"August 7, 1956",2.75,
"August 8, 1956",2.75,
"August 9, 1956",2.75,
"August 10, 1956",2.75,
"August 11, 1956",2.75,
"August 12, 1956",2.75,
"August 13, 1956",2.75,
"August 14, 1956",2.75,
"August 15, 1956",2.75,
"August 16, 1956",2.75,
"August 17, 1956",2.75,
"August 18, 1956",2.75,
"August 19, 1956",2.75,
"August 20, 1956",2.75,
"August 21, 1956",2.75,
"August 22, 1956",2.69,
"August 23, 1956",2.75,
"August 24, 1956",3,
"August 25, 1956",3,
"August 26, 1956",3,
"August 27, 1956",2.88,
"August 28, 1956",2,
"August 29, 1956",1.75,
"August 30, 1956",3,
"August 31, 1956",3,
"September 1, 1956",3,
"September 2, 1956",3,
"September 3, 1956",3,
"September 4, 1956",3,
"September 5, 1956",3,
"September 6, 1956",3,
"September 7, 1956",3,
"September 8, 1956",3,
"September 9, 1956",3,
"September 10, 1956",3,
"September 11, 1956",3,
"September 12, 1956",2.5,
"September 13, 1956",3,
"September 14, 1956",3,
"September 15, 1956",3,
"September 16, 1956",3,
"September 17, 1956",3,
"September 18, 1956",2.5,
"September 19, 1956",2.5,
"September 20, 1956",3,
"September 21, 1956",3,
"September 22, 1956",3,
"September 23, 1956",3,
"September 24, 1956",3,
"September 25, 1956",3,
"September 26, 1956",3,
"September 27, 1956",3,
"September 28, 1956",3,
"September 29, 1956",3,
"September 30, 1956",3,
"October 1, 1956",3,
"October 2, 1956",3,
"October 3, 1956",3,
"October 4, 1956",3,
"October 5, 1956",3,
"October 6, 1956",3,
"October 7, 1956",3,
"October 8, 1956",3,
"October 9, 1956",2.94,
"October 10, 1956",2.94,
"October 11, 1956",3,
"October 12, 1956",3,
"October 13, 1956",3,
"October 14, 1956",3,
"October 15, 1956",3,
"October 16, 1956",2.94,
"October 17, 1956",2.5,
"October 18, 1956",3,
"October 19, 1956",2.94,
"October 20, 1956",2.94,
"October 21, 1956",2.94,
"October 22, 1956",2.94,
"October 23, 1956",2.94,
"October 24, 1956",2.94,
"October 25, 1956",3,
"October 26, 1956",3,
"October 27, 1956",3,
"October 28, 1956",3,
"October 29, 1956",3,
"October 30, 1956",2.94,
"October 31, 1956",3,
"November 1, 1956",3,
"November 2, 1956",3,
"November 3, 1956",3,
"November 4, 1956",3,
"November 5, 1956",3,
"November 6, 1956",3,
"November 7, 1956",3,
"November 8, 1956",3,
"November 9, 1956",3,
"November 10, 1956",3,
"November 11, 1956",3,
"November 12, 1956",3,
"November 13, 1956",3,
"November 14, 1956",2.88,
"November 15, 1956",3,
"November 16, 1956",3,
"November 17, 1956",3,
"November 18, 1956",3,
"November 19, 1956",3,
"November 20, 1956",2.94,
"November 21, 1956",2.88,
"November 22, 1956",2.88,
"November 23, 1956",3,
"November 24, 1956",3,
"November 25, 1956",3,
"November 26, 1956",3,
"November 27, 1956",2.25,
"November 28, 1956",1,
"November 29, 1956",2.63,
"November 30, 1956",3,
"December 1, 1956",3,
"December 2, 1956",3,
"December 3, 1956",3,
"December 4, 1956",3,
"December 5, 1956",3,
"December 6, 1956",3,
"December 7, 1956",3,
"December 8, 1956",3,
"December 9, 1956",3,
"December 10, 1956",3,
"December 11, 1956",2.5,
"December 12, 1956",2,
"December 13, 1956",3,
"December 14, 1956",3,
"December 15, 1956",3,
"December 16, 1956",3,
"December 17, 1956",3,
"December 18, 1956",2.75,
"December 19, 1956",3,
"December 20, 1956",3,
"December 21, 1956",3,
"December 22, 1956",3,
"December 23, 1956",3,
"December 24, 1956",3,
"December 25, 1956",3,
"December 26, 1956",2.94,
"December 27, 1956",3,
"December 28, 1956",3,
"December 29, 1956",3,
"December 30, 1956",3,
"December 31, 1956",3,
"January 1, 1957",3,
"January 2, 1957",1,
"January 3, 1957",3,
"January 4, 1957",3,
"January 5, 1957",3,
"January 6, 1957",3,
"January 7, 1957",3,
"January 8, 1957",2.25,
"January 9, 1957",2.5,
"January 10, 1957",2.94,
"January 11, 1957",2.94,
"January 12, 1957",2.94,
"January 13, 1957",2.94,
"January 14, 1957",2.94,
"January 15, 1957",2.88,
"January 16, 1957",2.5,
"January 17, 1957",3,
"January 18, 1957",3,
"January 19, 1957",3,
"January 20, 1957",3,
"January 21, 1957",2.94,
"January 22, 1957",2.88,
"January 23, 1957",2.5,
"January 24, 1957",3,
"January 25, 1957",3,
"January 26, 1957",3,
"January 27, 1957",3,
"January 28, 1957",3,
"January 29, 1957",3,
"January 30, 1957",3,
"January 31, 1957",3,
"February 1, 1957",3,
"February 2, 1957",3,
"February 3, 1957",3,
"February 4, 1957",3,
"February 5, 1957",3,
"February 6, 1957",3,
"February 7, 1957",3,
"February 8, 1957",3,
"February 9, 1957",3,
"February 10, 1957",3,
"February 11, 1957",3,
"February 12, 1957",3,
"February 13, 1957",3,
"February 14, 1957",3,
"February 15, 1957",3,
"February 16, 1957",3,
"February 17, 1957",3,
"February 18, 1957",3,
"February 19, 1957",3,
"February 20, 1957",3,
"February 21, 1957",3,
"February 22, 1957",3,
"February 23, 1957",3,
"February 24, 1957",3,
"February 25, 1957",3,
"February 26, 1957",3,
"February 27, 1957",3,
"February 28, 1957",3,
"March 1, 1957",3,
"March 2, 1957",3,
"March 3, 1957",3,
"March 4, 1957",3,
"March 5, 1957",3,
"March 6, 1957",3,
"March 7, 1957",3,
"March 8, 1957",3,
"March 9, 1957",3,
"March 10, 1957",3,
"March 11, 1957",3,
"March 12, 1957",3,
"March 13, 1957",3,
"March 14, 1957",3,
"March 15, 1957",3,
"March 16, 1957",3,
"March 17, 1957",3,
"March 18, 1957",3,
"March 19, 1957",3,
"March 20, 1957",3,
"March 21, 1957",3,
"March 22, 1957",3,
"March 23, 1957",3,
"March 24, 1957",3,
"March 25, 1957",3,
"March 26, 1957",2.75,
"March 27, 1957",2.25,
"March 28, 1957",3,
"March 29, 1957",2.94,
"March 30, 1957",2.94,
"March 31, 1957",2.94,
"April 1, 1957",3,
"April 2, 1957",3,
"April 3, 1957",3,
"April 4, 1957",3,
"April 5, 1957",3,
"April 6, 1957",3,
"April 7, 1957",3,
"April 8, 1957",3,
"April 9, 1957",3,
"April 10, 1957",3,
"April 11, 1957",3,
"April 12, 1957",3,
"April 13, 1957",3,
"April 14, 1957",3,
"April 15, 1957",3,
"April 16, 1957",3,
"April 17, 1957",3,
"April 18, 1957",3,
"April 19, 1957",3,
"April 20, 1957",3,
"April 21, 1957",3,
"April 22, 1957",3,
"April 23, 1957",3,
"April 24, 1957",3,
"April 25, 1957",3,
"April 26, 1957",3,
"April 27, 1957",3,
"April 28, 1957",3,
"April 29, 1957",3,
"April 30, 1957",3,
"May 1, 1957",3,
